Year,Anomaly
2025,1.23
2024,1.45
2023,0.99
2022,0.51
2021,0.57
2020,1.15
2019,1.52
2018,1.12
2017,1.06
2016,0.99
2015,0.94
2014,1.04
2013,1.33
2012,0.24
2011,0.0
2010,0.33
2009,0.93
2008,0.45
2007,0.76
2006,0.5
2005,1.16
2004,0.54
2003,0.69
2002,0.71
2001,0.05
2000,-0.04
1999,0.32
1998,0.97
1997,0.3
1996,0.6
1995,0.16
1994,0.18
1993,0.31
1992,0.12
1991,0.6
1990,0.47
1989,-0.02
1988,0.74
1987,0.18
1986,0.22
1985,0.21
1984,-0.38
1983,0.33
1982,-0.04
1981,0.27
1980,0.74
1979,0.38
1978,-0.31
1977,-0.03
1976,-0.75
1975,-0.22
1974,-0.7
1973,0.53
1972,0.15
1971,-0.22
1970,-0.1
1969,-0.03
1968,-0.39
1967,-0.22
1966,-0.5
1965,0.24
1964,-0.23
1963,-0.13
1962,-0.11
1961,0.05
1960,-0.66
