Entity,Code,Year,CO2 emissions per capita
Australia,AUS,1750,0
Australia,AUS,1760,0
Australia,AUS,1770,0
Australia,AUS,1780,0
Australia,AUS,1790,0
Australia,AUS,1800,0
Australia,AUS,1801,0
Australia,AUS,1802,0
Australia,AUS,1803,0
Australia,AUS,1804,0
Australia,AUS,1805,0.0010380151
Australia,AUS,1806,0.0028337112
Australia,AUS,1807,0.0026282691
Australia,AUS,1808,0.0032052195
Australia,AUS,1809,0.0049977372
Australia,AUS,1810,0.0048680147
Australia,AUS,1811,0.00830243
Australia,AUS,1812,0.008092243
Australia,AUS,1813,0.010139381
Australia,AUS,1814,0.012042811
Australia,AUS,1815,0.009363818
Australia,AUS,1816,0.0075619943
Australia,AUS,1817,0.0066079865
Australia,AUS,1818,0.005946232
Australia,AUS,1819,0.0109278485
Australia,AUS,1820,0.018738898
Australia,AUS,1821,0.009483858
Australia,AUS,1822,0.01180683
Australia,AUS,1823,0.014182906
Australia,AUS,1824,0.014199973
Australia,AUS,1825,0.0086447345
Australia,AUS,1826,0.019180024
Australia,AUS,1827,0.017820317
Australia,AUS,1828,0.0114450855
Australia,AUS,1829,0.018160794
Australia,AUS,1830,0.017152525
Australia,AUS,1831,0.004180592
Australia,AUS,1832,0.032435037
Australia,AUS,1833,0.03019444
Australia,AUS,1834,0.036735043
Australia,AUS,1835,0.052342642
Australia,AUS,1836,0.052141123
Australia,AUS,1837,0.06473291
Australia,AUS,1838,0.06765787
Australia,AUS,1839,0.08141686
Australia,AUS,1840,0.1124016
Australia,AUS,1841,0.12538597
Australia,AUS,1842,0.13876665
Australia,AUS,1843,0.08672209
Australia,AUS,1844,0.07474135
Australia,AUS,1845,0.069588214
Australia,AUS,1846,0.11710772
Australia,AUS,1847,0.11803056
Australia,AUS,1848,0.12697434
Australia,AUS,1849,0.1294985
Australia,AUS,1850,0.17997892
Australia,AUS,1851,0.16043453
Australia,AUS,1852,0.14898546
Australia,AUS,1853,0.1978755
Australia,AUS,1854,0.22046992
Australia,AUS,1855,0.23959456
Australia,AUS,1856,0.30704102
Australia,AUS,1857,0.31453532
Australia,AUS,1858,0.29910615
