Quarter,Agriculture,Electricity,Fugitive Emissions,Industrial Processes,LULUCF,Stationary Energy (excluding electricity),Transport,Waste
September 2010,19.9,50.3,11.1,8.6,11.7,21.2,22.5,3.9
December 2010,20.2,49.5,10.9,8.6,9.6,21.2,22.7,3.9
March 2011,20.3,49.3,10.8,8.6,8.1,21.5,22.8,3.9
June 2011,20.4,49.7,11.0,8.6,6.5,21.7,22.9,3.8
September 2011,20.5,50.3,11.2,8.4,4.3,21.9,22.9,3.7
December 2011,20.6,50.4,11.3,8.2,2.5,21.8,22.9,3.6
March 2012,20.7,49.6,11.2,7.9,2.0,21.9,22.9,3.6
June 2012,20.7,48.3,11.2,7.7,2.8,22.2,22.9,3.5
September 2012,20.7,47.3,11.3,7.5,4.0,22.7,23.0,3.4
December 2012,20.7,46.7,11.5,7.4,4.6,23.0,23.1,3.3
March 2013,20.8,46.5,11.5,7.4,4.3,23.1,23.3,3.3
June 2013,20.8,46.1,11.3,7.4,3.7,23.2,23.4,3.3
September 2013,20.8,45.6,11.0,7.4,3.2,23.5,23.3,3.3
December 2013,20.8,45.5,10.9,7.4,2.5,23.6,23.2,3.3
March 2014,20.8,45.6,11.1,7.4,1.6,23.4,23.1,3.3
June 2014,20.6,46.2,11.5,7.5,0.7,22.9,23.3,3.3
September 2014,20.3,46.8,11.9,7.5,0.2,22.3,23.6,3.2
December 2014,20.1,47.2,12.1,7.6,-0.4,22.1,23.7,3.2
March 2015,19.9,47.3,12.3,7.7,-2.1,22.3,23.8,3.2
June 2015,19.9,47.7,12.5,7.7,-5.7,22.4,23.8,3.2
September 2015,19.7,48.4,12.6,7.6,-10.2,22.5,24.0,3.2
December 2015,19.7,48.9,12.6,7.7,-13.6,22.5,24.0,3.3
March 2016,19.8,48.7,12.7,7.7,-14.1,22.4,23.9,3.3
June 2016,20.2,48.2,13.0,7.8,-11.9,22.6,23.8,3.3
September 2016,20.5,47.7,13.4,7.8,-8.9,23.0,23.8,3.3
December 2016,20.8,47.6,13.7,7.8,-6.7,23.5,24.1,3.3
March 2017,20.8,47.5,13.7,7.8,-6.7,23.8,24.6,3.3
June 2017,20.7,47.2,13.7,7.8,-8.8,23.9,24.9,3.3
September 2017,20.7,46.6,13.8,7.8,-11.5,24.0,24.8,3.2
December 2017,20.7,46.0,14.0,7.9,-13.6,24.2,24.8,3.2
March 2018,20.5,45.6,14.1,8.0,-14.5,24.4,25.0,3.2
June 2018,20.0,45.4,14.3,8.1,-14.5,24.5,25.2,3.2
September 2018,19.5,45.3,14.5,8.1,-14.7,24.5,25.2,3.3
December 2018,19.1,45.2,14.6,8.1,-15.1,24.4,25.0,3.3
March 2019,18.9,44.6,14.5,8.0,-15.4,24.4,24.8,3.3
June 2019,18.8,44.0,14.2,8.0,-15.4,24.6,24.8,3.3
September 2019,18.6,43.6,14.0,8.0,-15.0,24.9,24.7,3.3
December 2019,18.4,43.5,13.9,8.0,-14.9,25.0,24.1,3.4
March 2020,18.5,43.1,13.8,8.0,-15.8,25.0,22.9,3.4
June 2020,18.9,42.4,13.4,8.0,-17.8,25.0,21.8,3.4
September 2020,19.4,41.5,12.9,8.1,-20.1,25.1,21.4,3.4
December 2020,19.6,40.8,12.4,8.2,-21.9,25.3,22.0,3.4
March 2021,19.7,40.4,12.3,8.2,-22.5,25.7,22.7,3.4
June 2021,19.8,40.2,12.4,8.2,-22.1,26.0,23.0,3.4
September 2021,19.8,39.9,12.4,8.2,-21.3,25.9,22.8,3.5
December 2021,19.9,39.4,12.4,8.2,-20.8,25.6,22.6,3.5
March 2022,19.9,38.8,12.3,8.2,-20.5,25.2,22.9,3.5
June 2022,20.1,38.4,12.3,8.2,-19.9,24.9,23.4,3.5
September 2022,20.4,38.1,12.3,8.2,-19.1,24.9,23.8,3.5
December 2022,20.6,37.8,12.3,8.3,-18.5,24.9,24.1,3.4
March 2023,20.6,37.5,12.1,8.2,-18.4,24.9,24.2,3.4
June 2023,20.4,37.3,11.9,8.1,-18.4,24.7,24.3,3.4
September 2023,20.2,37.3,11.8,7.9,-18.4,24.4,24.5,3.5
December 2023,20.1,37.8,11.8,7.7,-18.4,24.2,24.6,3.5
March 2024,20.1,38.5,11.9,7.6,-18.4,24.1,24.7,3.5
June 2024,20.0,38.5,11.9,7.6,-18.4,24.0,24.9,3.5
September 2024,19.9,37.8,11.8,7.6,-18.4,24.0,24.9,3.5
December 2024,19.9,36.9,11.5,7.6,-18.3,23.9,24.7,3.4
March 2025,19.9,36.5,11.2,7.5,-18.4,23.7,24.5,3.4
